郵便番号, 地域区分ID, (旧)郵便番号, 都道府県名(よみ), 市区町村名(よみ), 町域名(よみ), 都道府県名, 市区町村名, 町域名, 一町域が二以上の郵便番号で表される場合の表示, 小字毎に番地が起番されている町域の表示, 丁目を有する町域の場合の表示, 一つの郵便番号で二以上の町域を表す場合の表示, 更新の表示, 変更理由, 登録日, 修正日
post_id, region_id, post_id_old, state_re, cities_re, town_re, state, cities, town,more_info1,more_info2,more_info3,more_info4,more_info5,more_info6, create_on, modify_on
8010803,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾉｳﾗ,福岡県,北九州市門司区,田野浦,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010804,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾀﾉｳﾗｶｲｶﾞﾝ,福岡県,北九州市門司区,田野浦海岸,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000117,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾂﾈﾐ,福岡県,北九州市門司区,恒見,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000116,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾂﾈﾐﾏﾁ,福岡県,北九州市門司区,恒見町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000023,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾅｶﾆｼﾞｯﾁｮｳ,福岡県,北九州市門司区,中二十町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000039,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾅｶﾏﾁ,福岡県,北九州市門司区,中町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000017,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾅｶﾞｸﾞﾛ,福岡県,北九州市門司区,永黒,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010861,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾅｶﾞﾀﾆ,福岡県,北九州市門司区,長谷,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010881,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾅﾙﾀｹ,福岡県,北九州市門司区,鳴竹,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010841,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾆｼｶｲｶﾞﾝ,福岡県,北九州市門司区,西海岸,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010862,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾆｼｷﾏﾁ,福岡県,北九州市門司区,錦町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000056,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾆｼｼﾝﾏﾁ,福岡県,北九州市門司区,西新町,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000112,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾊﾀ,福岡県,北九州市門司区,畑,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010874,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾊﾀｹﾀﾞﾏﾁ,福岡県,北九州市門司区,畑田町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010856,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾊﾏﾏﾁ,福岡県,北九州市門司区,浜町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000005,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾊﾔﾏ,福岡県,北九州市門司区,羽山,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000037,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾊﾗﾏﾁﾍﾞﾂｲﾝ,福岡県,北九州市門司区,原町別院,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000046,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾋｶﾘﾏﾁ,福岡県,北九州市門司区,光町,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000055,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ﾋｶﾞｼｼﾝﾏﾁ,福岡県,北九州市門司区,東新町,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
